RPM (Obroty silnika)/IQ(MG/SUW),"0,00 IQ","3,00 IQ","6,00 IQ","9,60 IQ","12,00 IQ","16,00 IQ","20,00 IQ","24,00 IQ","26,00 IQ","28,00 IQ","32,00 IQ","36,00 IQ","40,00 IQ",Źródło
5355,"11,4°","12,4°","13,5°","14,0°","14,5°","14,5°","14,5°","14,5°","14,6°","15,1°","15,6°","15,6°","15,6°",1
4494,"8,5°","9,4°","10,4°","10,8°","11,6°","12,4°","13,1°","13,6°","14,6°","15,1°","15,6°","15,6°","15,6°",1
3990,"6,4°","7,3°","8,2°","8,4°","9,2°","10,1°","10,9°","11,6°","12,2°","15,1°","15,6°","15,6°","15,6°",1
3738,"2,4°","3,2°","4,3°","4,5°","5,2°","6,0°","6,5°","7,5°","8,4°","13,8°","14,4°","14,4°","14,4°",1
3234,"0,4°","0,8°","1,3°","1,6°","2,0°","3,1°","4,0°","4,6°","5,8°","9,5°","12,0°","12,0°","12,0°",1
2982,"-0,6°","0,0°","0,0°","0,0°","0,3°","1,5°","2,7°","3,2°","4,3°","7,7°","10,8°","10,8°","10,8°",1
2730,"-0,6°","-0,6°","-0,6°","-0,6°","-0,3°","0,8°","1,5°","2,2°","3,2°","6,3°","9,6°","9,6°","9,6°",1
2499,"-1,0°","-1,0°","-1,0°","-1,0°","-0,7°","0,0°","0,8°","1,4°","2,5°","5,1°","8,2°","8,2°","8,2°",1
2247,"-1,0°","-1,0°","-1,0°","-1,0°","-0,8°","-0,4°","0,2°","1,0°","2,0°","4,4°","7,6°","7,6°","7,6°",1
1995,"-1,0°","-1,0°","-1,0°","-1,0°","-0,9°","-0,6°","-0,3°","0,5°","1,4°","4,1°","7,0°","7,0°","7,0°",1
1743,"-1,5°","-1,5°","-1,5°","-1,5°","-1,5°","-1,0°","-0,4°","0,9°","1,7°","5,0°","7,9°","7,9°","7,9°",1
1491,"-1,5°","-1,5°","-1,5°","-1,5°","-1,5°","-1,0°","0,1°","2,9°","4,0°","6,5°","9,6°","9,6°","9,6°",1
1239,"-1,5°","-1,5°","-1,5°","-1,5°","-1,5°","-0,7°","2,7°","5,6°","7,7°","10,6°","11,1°","11,1°","11,1°",1
987,"0,5°","0,5°","0,5°","0,6°","0,8°","1,2°","4,7°","7,7°","7,7°","10,6°","11,1°","11,1°","11,1°",1
819,"0,5°","0,5°","0,5°","0,8°","1,1°","2,1°","7,9°","10,6°","10,6°","10,6°","11,1°","11,1°","11,1°",1
0,"0,5°","0,5°","0,5°","0,7°","1,2°","2,1°","7,9°","10,6°","10,6°","10,6°","11,1°","11,1°","11,1°",1
