Engine speed (rpm)vsIQ(mg/suw)-mVolts,"IQ 0,00 mg/stroke","IQ 0,40 mg/stroke","IQ 2,00 mg/stroke","IQ 4,00 mg/stroke","IQ 6,00 mg/stroke","IQ 8,00 mg/stroke","IQ 10,00 mg/stroke","IQ 12,00 mg/stroke","IQ 15,00 mg/stroke","IQ 20,00 mg/stroke","IQ 25,00 mg/stroke","IQ 30,00 mg/stroke","IQ 35,00 mg/stroke","IQ 40,00 mg/stroke","IQ 51,00 mg/stroke"
4494,"0,00","1067,16","1271,06","1420,02","1549,45","1719,17","1919,41","2100,12","2330,89","2909,65","3490,84","3929,18","4293,04","4539,68","4686,20"
3990,"0,00","1096,46","1280,83","1429,79","1559,22","1719,17","1909,65","2100,12","2310,13","2851,04","3341,88","3761,90","4122,10","4389,50","4617,83"
3507,"0,00","1130,65","1300,37","1439,56","1568,99","1728,94","1909,65","2080,59","2280,83","2771,67","3172,16","3560,44","3930,40","4192,92","4484,74"
3003,"0,00","1169,72","1329,67","1460,32","1570,21","1750,92","1909,65","2080,59","2261,29","2692,31","3021,98","3411,48","3722,83","3980,46","4269,84"
2499,"0,00","1179,49","1350,43","1490,84","1599,51","1750,92","1909,65","2061,05","2241,76","2593,41","2892,55","3241,76","3522,59","3750,92","4004,88"
1995,"0,00","1203,91","1390,72","1521,37","1631,26","1781,44","1920,64","2041,51","2201,47","2501,83","2741,15","3051,28","3290,60","3501,83","3760,68"
1743,"0,00","1249,08","1429,79","1560,44","1680,10","1800,98","1940,17","2061,05","2200,24","2451,77","2670,33","2969,48","3172,16","3378,51","3628,82"
1491,"0,00","1293,04","1460,32","1600,73","1720,39","1840,05","1960,93","2080,59","2200,24","2410,26","2611,72","2880,34","3072,04","3258,85","3492,06"
1260,"411,48","1371,18","1510,38","1660,56","1780,22","1899,88","2000,00","2090,35","2210,01","2371,18","2568,99","2788,77","2949,94","3123,32","3360,20"
1008,"783,88","1444,44","1579,98","1710,62","1820,51","1909,65","2000,00","2090,35","2189,26","2321,12","2490,84","2691,09","2829,06","2971,92","3174,60"
903,"985,35","1459,10","1597,07","1728,94","1826,62","1905,98","1989,01","2076,92","2170,94","2312,58","2455,43","2636,14","2779,00","2918,19","3096,46"
798,"1043,96","1473,75","1616,61","1738,71","1811,97","1891,33","1974,36","2057,39","2156,29","2288,16","2416,36","2577,53","2715,51","2843,71","3021,98"
609,"1058,61","1488,40","1616,61","1704,52","1777,78","1847,38","1930,40","2023,20","2122,10","2210,01","2332,11","2470,09","2601,95","2711,84","2877,90"
399,"1117,22","1465,20","1592,19","1665,45","1724,05","1798,54","1857,14","1954,82","2039,07","2136,75","2253,97","2372,41","2465,20","2579,98","2736,26"
210,"1136,75","1440,78","1533,58","1616,61","1665,45","1730,16","1798,54","1876,68","1960,93","2048,84","2151,40","2249,08","2347,99","2451,77","2588,52"
0,0,"1387,06","1474,97","1538,46","1577,53","1637,36","1705,74","1774,12","1832,72","1921,86","2029,30","2112,33","2214,90","2304,03","2450,55"
