Stary plik,Scalony do
controller.py,core.py
config_loader.py,core.py
app_api.py,core.py
cli.py,core.py
dataset.py,core.py
ui_state.py,core.py
combustion.py,physics.py
thermo.py,physics.py
geometry.py,physics.py
heat_transfer.py,physics.py
flow.py,physics.py
valvetrain.py,physics.py
hydraulics.py,physics.py
vp37.py,injection.py
vp37_cam.py,injection.py
soi_map.py,injection.py
n146_map.py,injection.py
lift_table.py,injection.py
edc_maps.py,injection.py
dashboard.py,gui.py
dashboard_streamlit.py,gui.py
dashboard_pyside.py,gui.py
gui.py,gui.py
turbo.py,turbo.py
coupled.py,turbo.py
full_cycle.py,engine_model.py
solver.py,engine_model.py
models.py,engine_model.py
