idx,rpm,fuel,hw_nozzle_holes,hw_nozzle_diameter_mm,hw_vp37_camplate,hw_vp37_cam_profile_file,hw_valvetrain_profile_file,soi_offset_deg,iq_cmd_mg_per_str,iq_eff_mg_per_str,n146_mv,maf_target_mg_per_str,smoke_iq_max_mg_per_str,boost_target_mbar_abs,p_intake_bar_used,soi_main_deg_model,duration_main_deg,out_peak_pressure_bar,out_peak_temp_k,out_imep_bar,out_indicated_torque_nm,out_brake_torque_nm_est,out_brake_power_kw_est,out_mass_start_kg_per_cyl,out_mass_end_kg_per_cyl,out_fuel_energy_in_j_per_cyl,out_q_comb_j_per_cyl,out_q_wall_j_per_cyl,out_q_exhaust_out_j_per_cyl_est,out_torque_ind_mean_nm_per_cyl,out_torque_ind_pp_nm_per_cyl,out_torque_ind_ripple_rms_nm_per_cyl,out_rod_force_max_comp_n_est,out_rod_force_max_tens_n_est,out_bsfc_g_per_kwh_est
0,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,-2.135042323682198,42.79192622690149,42.79192622690149,,797.1947253930662,37.03571428571428,1724.6287494127325,1.2494651616083883,-8.135042323682198,54.71323224492421,63.92649562420481,1924.8929239651911,12.52299925818043,188.96701047186676,173.87741359686675,27.31260025905553,3.718577025463235e-05,1.3875103193070308e-05,1583.301270395355,1532.4991513120947,6.808347464355627,1403.1397640913406,47.17915559286335,1040.126252587715,192.96970612552866,30587.470461267632,536.9478077516466,282.0144053581452
1,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,1.9662155629226508,19.595562863873933,19.595562863873933,,499.5048498455161,28.821878579033037,1116.1921834077364,1.4396749501384476,-4.033784437077349,20.681974219610822,73.65843890971666,1349.0665159923456,8.056438752950918,121.56841303015707,106.47881615515708,16.725653329798984,4.2846670385177854e-05,2.5633617357965388e-05,725.0358259633355,689.3589560939524,3.0420570284829616,623.6848348946979,30.35193035229914,1127.5864300238582,181.03258943003033,35418.32218941202,479.69146945647435,210.8857122617224
2,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,0.2288598793156691,16.178463809460965,16.178463809460965,,450.4000421757037,26.979296677726747,1074.9673241012829,1.6307429627427235,-5.771140120684331,16.803417133745292,84.16332213378584,1218.255570358703,7.063886822454169,106.59120452145811,91.50160764645811,14.373038918688422,4.8533112422958087e-05,3.275157545149495e-05,598.6031609500557,592.7919133374767,2.364771928171629,557.8814725780635,26.61255237192638,1218.2975987511502,188.00573528869467,40681.05300527208,454.87009174232924,202.61014404660864
3,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,-0.27901266311609074,7.763792981628084,7.763792981628084,,307.43565488911696,20.376964560631706,1002.2772783207724,1.3224903891577033,-6.279012663116091,7.800556957411523,67.66276517543204,1036.9958687544258,3.524611687773284,53.18496950941222,38.09537263441222,5.984007140201753,3.9359099626173624e-05,2.8274531760075793e-05,287.2603403202391,288.0379073035401,1.1805896603765622,369.5884061677377,13.278606839476192,875.4840551321582,135.71349802627682,32442.12206463546,495.92121563555634,233.53627493264293
4,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,1.502188035780316,14.057576593399716,14.057576593399716,,412.6691449219952,25.92702124104687,1049.743840930061,1.3881527795453081,-4.497811964219684,14.46762644332977,71.02233508144295,1242.222571323236,6.024724066534375,90.9106574471144,75.8210605721144,11.909944344037067,4.1313301022377695e-05,2.6586323101746725e-05,520.1303339557895,526.7538460637659,2.162238827436702,492.94521443662643,22.697607605127292,1050.1487345719318,161.47011565576773,34109.78325111566,478.63566555781995,212.45806980440025
5,1500.0,diesel,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,2.76994316198272,33.16596745326194,33.16596745326194,,735.2677239493186,36.986255930401285,1502.2652904465126,1.4329814844379474,-3.23005683801728,38.1663769190397,104.15056140677333,1762.9502017298812,14.450343708884997,218.049861272267,202.96026439726697,31.8809237800548,4.264746380832088e-05,2.117691909881945e-05,1409.5536167636326,1406.5479577952426,6.421190652497855,1074.598074199273,54.440514018352296,1284.7127113972822,231.88924839816892,50568.29313827998,498.21826106638946,187.2553688460557
6,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,2.819552479296796,24.190949178558785,24.190949178558785,,575.9940049232491,33.523926009680665,1194.323233142381,1.0926924899766162,-3.180447520703204,26.16781627703667,55.88399340455376,1661.2018141079338,8.668160180494269,130.79904277158576,115.70944589658578,18.175597258982975,3.252000387023822e-05,1.2156567855798227e-05,895.065119606675,871.439624081913,4.094736595384368,720.6811419730702,32.65654810919583,922.458058892461,159.11374746728956,26595.24253652764,599.2032209501076,239.57236673411148
7,1500.0,diesel,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,1.6600986860537876,28.35914194528074,28.35914194528074,,654.3652947957651,36.714654918242935,1347.3408112806067,1.733838163832722,-4.339901313946212,31.48525675035829,121.74190105034562,1528.1010128395671,13.5909664686287,205.08220515324945,189.99260827824943,29.84396912016559,5.160136480796485e-05,2.9959803921534996e-05,1205.2635326744314,1165.0750118696956,5.289665162698284,926.8645846000662,51.20287606115453,1464.632271676347,248.96815371862166,59296.75722128175,470.44341345803434,171.04445891888156
8,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,-0.24398470268757766,4.681031903444651,4.681031903444651,,284.3513176332083,19.96428571428571,1002.1671797108374,1.5130625353115001,-6.243984702687578,4.655100471955095,77.41328567172349,938.156643118337,2.4947238775496783,37.64437762666151,22.554780751661507,3.5428966756374134,4.503078400886185e-05,3.7134150382128436e-05,173.1981804274521,181.0577369653132,0.6734297995644313,344.07663028143145,9.398540660402379,922.7839390330347,141.6356528565871,37282.195358110206,437.6677943121174,237.82396715491143
9,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,0.5576461086257041,13.184190252700597,13.184190252700597,,397.98473721573527,25.460705810663846,1039.5439361654676,1.671905216825127,-5.442353891374296,13.519957006395842,85.54044537365581,1149.3467380257148,6.035355784871183,91.07108579090539,75.98148891590539,11.935144369351134,4.975815668229598e-05,3.532673083062287e-05,487.8150393499221,492.9026652018561,1.9115160727592486,508.7434869874824,22.737625225737986,1190.5760946321789,182.65753240566687,41316.44651835217,446.34381789737085,198.83749806833097
