theta_deg,volume_m3,pressure_pa,temperature_k,mass_kg,mdot_intake_kg_s,mdot_exhaust_kg_s,intake_lift_frac,exhaust_lift_frac,dm_fuel_main_mg_per_deg,dq_comb_j_per_deg,dq_wall_j_per_deg,torque_indicated_nm_per_cyl
-360.000,0.000,236003.348,300.000,0.000,-0.000,-0.013,0.109,0.044,0.000,0.000,-0.001,-0.194
-359.000,0.000,232964.553,298.910,0.000,0.010,-0.011,0.118,0.039,0.000,0.000,-0.001,1.092
-358.000,0.000,231716.922,298.494,0.000,0.012,-0.010,0.127,0.034,0.000,0.000,-0.001,2.361
-357.000,0.000,231138.520,298.338,0.000,0.014,-0.008,0.136,0.029,0.000,0.000,-0.001,3.627
-356.000,0.000,230883.810,298.311,0.000,0.015,-0.007,0.145,0.024,0.000,0.000,-0.001,4.891
-355.000,0.000,230719.467,298.324,0.000,0.017,-0.006,0.155,0.020,0.000,0.000,-0.001,6.152
-354.000,0.000,230581.277,298.351,0.000,0.018,-0.005,0.165,0.017,0.000,0.000,-0.001,7.409
-353.000,0.000,230465.069,298.391,0.000,0.019,-0.004,0.175,0.013,0.000,0.000,-0.001,8.661
-352.000,0.000,230345.992,298.433,0.000,0.021,-0.003,0.186,0.010,0.000,0.000,-0.001,9.908
-351.000,0.000,230170.355,298.457,0.000,0.022,-0.002,0.196,0.008,0.000,0.000,-0.001,11.146
-350.000,0.000,229980.418,298.479,0.000,0.024,-0.002,0.207,0.006,0.000,0.000,-0.001,12.375
-349.000,0.000,229798.355,298.507,0.000,0.025,-0.001,0.218,0.003,0.000,0.000,-0.001,13.596
-348.000,0.000,229584.256,298.525,0.000,0.027,-0.001,0.230,0.002,0.000,0.000,-0.001,14.806
-347.000,0.000,229337.527,298.534,0.000,0.029,-0.000,0.241,0.001,0.000,0.000,-0.001,16.005
-346.000,0.000,229093.894,298.546,0.000,0.031,-0.000,0.253,0.001,0.000,0.000,-0.001,17.192
-345.000,0.000,228861.827,298.564,0.000,0.033,-0.000,0.265,0.000,0.000,0.000,-0.001,18.370
-344.000,0.000,228617.882,298.578,0.000,0.035,-0.000,0.277,0.000,0.000,0.000,-0.001,19.534
-343.000,0.000,228378.655,298.596,0.000,0.037,-0.000,0.289,0.000,0.000,0.000,-0.001,20.687
-342.000,0.000,228155.396,298.620,0.000,0.039,-0.000,0.301,0.000,0.000,0.000,-0.001,21.828
-341.000,0.000,227957.624,298.653,0.000,0.041,-0.000,0.314,0.000,0.000,0.000,-0.001,22.958
-340.000,0.000,227791.344,298.696,0.000,0.043,-0.000,0.327,0.000,0.000,0.000,-0.001,24.079
-339.000,0.000,227648.828,298.748,0.000,0.045,-0.000,0.340,0.000,0.000,0.000,-0.001,25.188
-338.000,0.000,227526.113,298.804,0.000,0.047,-0.000,0.353,0.000,0.000,0.000,-0.001,26.285
-337.000,0.000,227428.028,298.867,0.000,0.049,-0.000,0.366,0.000,0.000,0.000,-0.001,27.370
-336.000,0.000,227350.916,298.934,0.000,0.051,-0.000,0.379,0.000,0.000,0.000,-0.001,28.444
-335.000,0.000,227289.751,299.005,0.000,0.053,-0.000,0.392,0.000,0.000,0.000,-0.001,29.504
