theta_deg,volume_m3,pressure_pa,temperature_k,mass_kg,mdot_intake_kg_s,mdot_exhaust_kg_s,intake_lift_frac,exhaust_lift_frac,dm_fuel_main_mg_per_deg,dq_comb_j_per_deg,dq_wall_j_per_deg,torque_indicated_nm_per_cyl
-360.0,2.5624522534125138e-05,156575.549160661,300.0,4.659899753496372e-05,-0.0,-0.0075966199626304985,0.10934640522875824,0.04427083333333327,0.0,0.0,-0.0008145340129731185,-0.128863994217592
-359.0,2.5658229215438538e-05,154793.3352389455,299.13675208945494,4.626230501893823e-05,0.006006213402393726,-0.006552384420974759,0.11813071895424843,0.03894444444444441,0.0,0.0,-0.0008131797717154568,0.7252549403489741
-358.0,2.5788055472503243e-05,154137.1756020092,298.84158975559495,4.634501826841064e-05,0.007542026697323706,-0.005656687639662189,0.12711764705882353,0.033875,0.0,0.0,-0.0008129820407400687,1.5708137722199298
-357.0,2.601393111990201e-05,153789.4552059036,298.70802966046415,4.666634103793439e-05,0.008620990201284534,-0.004790541053496079,0.13610457516339863,0.028805555555555588,0.0,0.0,-0.0008133605085759791,2.413155788391354
-356.0,2.63357372778669e-05,153586.77568977262,298.65197818705997,4.719022106050081e-05,0.009524516586969786,-0.003983937237235221,0.14528758169934627,0.024013888888888925,0.0,0.0,-0.0008142109150318468,3.2534861460698976
-355.0,2.675330644662554e-05,153421.6869053014,298.61821387950516,4.789233675536665e-05,0.010449001391822756,-0.0033665372424678194,0.1552549019607843,0.020333333333333335,0.0,0.0,-0.000815458676289897,4.0909071834894695
-354.0,2.726642260958275e-05,153268.40472346995,298.5934497931873,4.876616745580562e-05,0.011380507198188575,-0.0027519502053006753,0.1652222222222223,0.016652777777777742,0.0,0.0,-0.0008170845831741932,4.924788376032637
-353.0,2.787482136536183e-05,153129.8464191019,298.5787502822913,4.9811675152523286e-05,0.01231105043252839,-0.002140018609070974,0.1751895424836603,0.012972222222222152,0.0,0.0,-0.0008190920731309956,5.755015502125309
-352.0,2.8578190088749296e-05,152995.38594859073,298.56831400062043,5.1025520283877064e-05,0.013292941474294629,-0.0016674935157064196,0.18566666666666684,0.010124999999999957,0.0,0.0,-0.0008214739017083813,6.580957165711677
-351.0,2.937616812059284e-05,152834.43155599228,298.5469163360244,5.239886314169744e-05,0.014371711130929195,-0.0012874785500019046,0.19648366013071908,0.007833333333333303,0.0,0.0,-0.0008242018213436775,7.40078676865236
-350.0,3.0268346986707978e-05,152671.2955476055,298.5269704273261,5.393623465105968e-05,0.015480782912794543,-0.000908951947860803,0.20730065359477132,0.005541666666666651,0.0,0.0,-0.000827291314279574,8.214976050596215
-349.0,3.125427064586234e-05,152517.32241396292,298.51388934566984,5.563935684176535e-05,0.01659733285543066,-0.000532026465831838,0.21811764705882353,0.00325,0.0,0.0,-0.0008307509326491126,9.023758623607288
-348.0,3.233343576690752e-05,152350.24815917408,298.49615926800914,5.750086490011178e-05,0.01782289593148347,-0.00038342420071774564,0.22968627450980383,0.002347222222222228,0.0,0.0,-0.0008345614069024466,9.825447025666302
-347.0,3.350529203513877e-05,152169.63154437792,298.4738864993278,5.951866196057562e-05,0.019103896862908202,-0.00023540953723577546,0.24125490196078417,0.0014444444444444559,0.0,0.0,-0.000838716417573311,10.619408010033368
-346.0,3.476924248796839e-05,151994.17616878074,298.45639528235006,6.169633848836298e-05,0.0204015904169007,-8.807931443174438e-05,0.25282352941176445,0.0005416666666666838,0.0,0.0,-0.0008432286677800932,11.40644327588737
-345.0,3.6124643879996834e-05,151828.66025472063,298.44565888076704,6.403393213873277e-05,0.02172646409856298,-0.0,0.26466666666666644,0.0,0.0,0.0,-0.0008481017840123383,12.186635542249704
-344.0,3.757080707757773e-05,151660.26538618794,298.43496844605875,6.652589562445019e-05,0.02311788056266501,-0.0,0.2769215686274508,0.0,0.0,0.0,-0.0008533227848433537,12.958667175973932
-343.0,3.91069974829643e-05,151497.91431204113,298.42866512319824,6.917333177946836e-05,0.024521758620935384,-0.0,0.2891764705882353,0.0,0.0,0.0,-0.0008588964971508544,13.72292959803636
